estacao,ano,precip_total,rx1day,dias_chuva_forte,cdd,tmax_media
A423,2010,620.0,65.2,4,88,31.543835616438358
A423,2011,524.0,64.8,3,141,30.8717877094972
A423,2012,231.2,49.4,0,227,32.10874316939891
A423,2013,514.4000000000001,46.2,0,97,32.03150684931507
A423,2014,533.8,69.0,3,86,31.260724233983282
A423,2015,167.4,34.4,0,79,33.22164383561643
A423,2016,288.6,63.6,2,123,32.3112676056338
A423,2017,268.2,31.2,0,108,32.6986301369863
A423,2018,708.4,75.2,1,185,31.727945205479454
A423,2019,310.6,53.4,1,221,32.91538461538462
A423,2020,632.4,65.0,3,68,30.508196721311474
A424,2008,322.20000000000005,43.4,0,103,29.217518248175185
A424,2009,649.8,71.60000000000001,3,92,29.904657534246578
A424,2010,738.4,69.4,2,125,29.793698630136983
A424,2011,493.4,83.8,2,162,29.40302197802198
A424,2012,297.2,38.6,0,105,30.3120218579235
A424,2013,541.2,90.0,3,68,30.149315068493152
A424,2014,308.20000000000005,39.2,0,81,29.58957746478873
A424,2015,283.2,54.0,1,132,30.769589041095895
A424,2016,400.6,43.2,0,79,30.34904109589041
A424,2017,299.20000000000005,49.0,0,101,30.127397260273973
A424,2018,368.6,65.0,1,162,29.905205479452057
A424,2019,403.40000000000003,52.0,1,49,30.794520547945204
A424,2020,830.3999999999999,98.0,5,84,29.341803278688527
A425,2008,550.5999999999999,64.4,1,32,29.998518518518516
A425,2009,1263.4,110.2,4,30,31.608767123287667
A425,2010,688.0,57.2,1,91,29.417543859649122
A425,2011,822.2,45.0,0,33,29.532328767123285
A425,2012,549.0,97.4,1,41,30.75218579234973
A425,2013,966.0,126.4,4,56,30.268347338935573
A425,2014,988.6,80.6,3,32,29.47041095890411
A425,2015,748.0000000000001,57.2,1,37,30.710410958904106
A425,2016,1051.0,89.4,5,57,30.545081967213115
A425,2017,653.4000000000001,52.6,1,43,30.33694444444444
A425,2018,1203.2,140.4,4,37,30.279452054794522
A425,2019,1075.0,147.4,7,30,31.204383561643837
A425,2020,1655.8000000000002,67.6,7,24,29.445901639344264
A426,2008,89.2,22.2,0,150,30.46558139534884
A426,2009,823.1999999999999,71.2,5,112,30.910958904109588
